imdbId,Genre,umap_x,umap_y,cluster_dbscan
109922,Action|Comedy|Drama,2.3719244,5.353911,1
75875,Comedy,2.6675844,2.939786,3
293082,Drama,5.6036034,2.7607052,2
945513,Mystery|Romance|Sci-Fi,4.371053,4.218451,2
120550,Adventure|Comedy|Family,3.558549,1.2020122,4
40092,Drama,2.6528614,4.5496707,8
80360,Horror|Sci-Fi|Thriller,7.4177976,3.6726286,2
52792,Crime|Drama|History,0.8864574,3.009458,3
1313254,Drama,2.3511314,4.938364,1
2331880,Drama,1.3652743,5.1968327,-1
1186371,Action|Adventure|Fantasy,0.63187873,4.2119074,3
322802,Documentary|Action|Comedy,4.503518,4.505278,2
148573,Crime|Drama|Mystery,7.056095,3.6719425,2
110189,Comedy|Crime,2.3297427,4.9304385,1
118586,Crime|Drama|Romance,1.4707631,3.6709812,3
211174,Comedy|Family|Fantasy,2.5524251,5.215317,1
179074,Documentary,4.5701275,3.8061502,2
57465,Thriller,4.229914,3.9457397,2
125128,Drama|Romance,5.8076353,3.4207602,2
342492,Comedy|Drama,1.8997291,2.3338819,3
2512236,Drama|Sci-Fi|Thriller,5.069738,2.1343803,2
111070,Comedy|Drama|Family,6.8168364,3.6493664,2
1991245,Horror|Mystery|Thriller,5.54925,4.1470056,2
1512201,Documentary|Drama,3.2929459,1.8398994,4
385677,Comedy|Romance,1.445895,3.0017188,3
388367,Drama|Crime,0.64424175,3.815443,3
172238,Family|Drama,1.0992825,5.0519977,3
118980,Drama,3.9743867,3.432052,2
376543,Comedy|Drama,1.8663769,1.8633916,3
3625970,Short|Drama|Fantasy,6.0659003,2.429187,2
365770,Comedy|Family|Sport,0.43520066,4.03107,3
66017,Comedy|Drama,5.354347,5.3915358,2
50359,Comedy|Drama,1.0920768,5.0160136,3
3619854,Horror|Sci-Fi,5.8010583,3.2045836,2
200930,Family,5.314774,3.0473804,2
165859,Drama|Music|Romance,7.1330466,4.7528834,2
464041,Drama|Mystery|Thriller,0.5204978,4.081468,3
52738,Biography|Drama|Family,0.5187116,2.8343406,3
68011,Comedy|Drama|Musical,6.9666257,3.1384265,2
2123170,Fantasy|Horror,3.711001,4.9800987,5
52924,Adventure|Romance,4.111364,5.16175,5
78480,Animation|Adventure|Drama,5.3143907,3.9047937,2
3064620,Drama|Family,3.0396833,4.094207,12
187712,Drama,3.8272495,4.2154713,2
1292703,Comedy|Crime|Drama,5.591062,2.6073515,2
1515195,Documentary,7.0834594,4.0452504,2
912590,Documentary,1.8999939,2.335135,3
92963,Documentary|War,4.4560223,3.830025,2
1045772,Biography|Comedy|Crime,1.056892,2.5028346,3
1196124,Action|Comedy|Horror,4.389238,4.95815,2
207907,Documentary|History|War,0.4638533,3.8893125,3
22725,Drama,2.488567,3.417062,3
65547,Biography|Western,3.254546,5.520735,5
56370,Drama,3.0232325,6.556326,9
160710,Comedy|Music|Romance,0.9263547,4.7790494,3
2130282,Documentary|Drama|News,3.8861985,1.8353074,4
97858,Comedy|Music|Musical,6.09003,3.949508,2
74300,Action|Drama,6.843438,3.2365768,2
2883448,Crime|Drama|Thriller,3.6221704,6.281385,5
86567,Sci-Fi|Thriller,6.2015524,4.5978055,2
65393,Drama,2.110398,3.5739863,-1
81494,Action|Comedy,2.3878658,5.343256,1
2779318,Adventure|Drama|Family,5.471205,4.672617,2
120609,Action|Comedy|Crime,2.4124339,5.3448853,1
875695,Documentary|Crime|Thriller,2.809636,6.431115,9
1919184,Crime|Drama|Thriller,5.7138267,4.731231,2
1716767,Family|Fantasy,3.4993377,4.274811,2
233911,Drama,5.1882534,5.2841907,2
1640459,Action|Comedy|Horror,5.8679953,4.9510446,2
142234,Animation|Action|Sci-Fi,6.0853233,3.7315443,2
1426352,Horror|Thriller,6.013242,4.669556,2
106267,Crime|Drama|Romance,2.479727,5.9150085,1
466816,Drama|Mystery|Romance,2.8879433,3.0035224,3
2386285,Drama|Thriller,5.2914624,4.5889926,2
101548,Drama|Romance,3.7032566,1.0178471,4
117534,Comedy|Family|Fantasy,4.59295,2.442105,2
1452297,Drama,3.9953809,4.4068937,2
88146,Crime|Drama|Mystery,3.2599413,2.0402017,4
2972362,Action|Thriller,6.187527,5.1357727,2
242423,Comedy|Mystery|Sci-Fi,6.1177597,3.2994533,2
937237,Crime|Thriller|War,3.9077916,6.082558,5
127626,Action|Comedy|Crime,3.9609497,6.019293,5
12408,Drama,3.4725275,4.996098,5
1356763,Documentary|Comedy,3.628677,5.7738614,5
37604,Drama|Romance,3.3028858,0.9791805,4
163624,Drama|Fantasy,3.9635215,6.1607633,5
1633224,Drama,4.751162,3.3321233,2
1045889,Documentary|Romance,2.1097867,3.014661,3
3445270,Documentary|Sport,0.5127481,3.9321778,3
1684911,Short|Drama,3.4814074,5.903353,5
312525,Comedy,0.46284735,3.900943,3
25173,Comedy|Drama|Romance,4.858666,2.9473543,2
44685,Biography|Family|Musical,4.880428,2.235019,2
75432,Adventure|Western,1.2710046,2.3420248,3
93258,Drama|Fantasy|Music,6.6990886,2.555245,2
5351000,Thriller,3.7829828,4.0310717,2
2207072,Comedy,4.293368,2.691673,4
3228360,Documentary|Biography,4.0388393,2.447535,4
216417,Comedy,6.289686,2.7286274,2
1772407,Documentary|Comedy,0.7486002,4.4434156,3
